HGNC.ID,HGNCsymbol,Approved.name,OMIM.ID,UniProt.ID,Mendelian.noXY,PathogenicMut.ClinVar,Autosomal.Recessive,Autosomal.Dominant,HaploinsufficientLv3.ClinGen,Haploinsufficient.Tx61,Homo.LoF.tolerant,Essential.CRISPR,NonEssential.CRISPR,Kinase,DRG.Wood,Detected.all.4673,Detected.K.2623,Detected.C.3817,Detected.CK.1767
HGNC:5,A1BG,alpha-1-B glycoprotein,138670,P04217,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:24086,A1CF,APOBEC1 complementation factor,618199,Q9NQ94,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:7,A2M,alpha-2-macroglobulin,103950,P01023,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
HGNC:23336,A2ML1,alpha-2-macroglobulin like 1,610627,A8K2U0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:30005,A3GALT2,"alpha 1,3-galactosyltransferase 2",,U3KPV4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:18149,A4GALT,"alpha 1,4-galactosyltransferase (P blood group)",607922,Q9NPC4,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:17968,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",616709,Q9UNA3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:13666,AAAS,aladin WD repeat nucleoporin,605378,Q9NRG9,True,True,True,False,False,False,False,False,False,False,False,True,False,True,False
HGNC:21298,AACS,acetoacetyl-CoA synthetase,614364,Q86V21,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
HGNC:17,AADAC,arylacetamide deacetylase,600338,P22760,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:24427,AADACL2,arylacetamide deacetylase like 2,,Q6P093,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:32037,AADACL3,arylacetamide deacetylase like 3,,Q5VUY0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:32038,AADACL4,arylacetamide deacetylase like 4,,Q5VUY2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:17929,AADAT,aminoadipate aminotransferase,611754,Q8N5Z0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:25662,AAGAB,alpha and gamma adaptin binding protein,614888,Q6PD74,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False
HGNC:19679,AAK1,AP2 associated kinase 1,616405,Q2M2I8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
HGNC:30205,AAMDC,adipogenesis associated Mth938 domain containing,,Q9H7C9,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
HGNC:18,AAMP,angio associated migratory cell protein,603488,Q13685,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
HGNC:19,AANAT,aralkylamine N-acetyltransferase,600950,Q16613,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:15886,AAR2,AAR2 splicing factor,617365,Q9Y312,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
HGNC:33842,AARD,alanine and arginine rich domain containing protein,,Q4LEZ3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:21022,AARS2,"alanyl-tRNA synthetase 2, mitochondrial",612035,Q5JTZ9,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False
HGNC:28417,AARSD1,alanyl-tRNA synthetase domain containing 1,613212,Q9BTE6,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
HGNC:23993,AASDH,aminoadipate-semialdehyde dehydrogenase,614365,Q4L235,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:14235,AASDHPPT,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,607756,Q9NRN7,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
HGNC:17366,AASS,aminoadipate-semialdehyde synthase,605113,Q9UDR5,True,True,True,False,False,False,False,False,False,False,False,True,True,True,True
HGNC:19235,AATF,apoptosis antagonizing transcription factor,608463,Q9NY61,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:21,AATK,apoptosis associated tyrosine kinase,605276,Q6ZMQ8,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
HGNC:23,ABAT,4-aminobutyrate aminotransferase,137150,P80404,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:29,ABCA1,ATP binding cassette subfamily A member 1,600046,O95477,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False
HGNC:32,ABCA2,ATP binding cassette subfamily A member 2,600047,Q9BZC7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:33,ABCA3,ATP binding cassette subfamily A member 3,601615,Q99758,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:34,ABCA4,ATP binding cassette subfamily A member 4,601691,P78363,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:35,ABCA5,ATP binding cassette subfamily A member 5,612503,Q8WWZ7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:36,ABCA6,ATP binding cassette subfamily A member 6,612504,Q8N139,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:37,ABCA7,ATP binding cassette subfamily A member 7,605414,Q8IZY2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:38,ABCA8,ATP binding cassette subfamily A member 8,612505,O94911,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
HGNC:39,ABCA9,ATP binding cassette subfamily A member 9,612507,Q8IUA7,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:30,ABCA10,ATP binding cassette subfamily A member 10,612508,Q8WWZ4,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
HGNC:14637,ABCA12,ATP binding cassette subfamily A member 12,607800,Q86UK0,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:14638,ABCA13,ATP binding cassette subfamily A member 13,607807,Q86UQ4,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
HGNC:40,ABCB1,ATP binding cassette subfamily B member 1,171050,P08183,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:45,ABCB4,ATP binding cassette subfamily B member 4,171060,P21439,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:46,ABCB5,ATP binding cassette subfamily B member 5,611785,Q2M3G0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:47,ABCB6,ATP binding cassette subfamily B member 6 (Langereis blood group),605452,Q9NP58,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:48,ABCB7,ATP binding cassette subfamily B member 7,300135,O75027,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:49,ABCB8,ATP binding cassette subfamily B member 8,605464,Q9NUT2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:50,ABCB9,ATP binding cassette subfamily B member 9,605453,Q9NP78,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:41,ABCB10,ATP binding cassette subfamily B member 10,605454,Q9NRK6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:42,ABCB11,ATP binding cassette subfamily B member 11,603201,O95342,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:51,ABCC1,ATP binding cassette subfamily C member 1,158343,P33527,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:53,ABCC2,ATP binding cassette subfamily C member 2,601107,Q92887,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:54,ABCC3,ATP binding cassette subfamily C member 3,604323,O15438,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:55,ABCC4,ATP binding cassette subfamily C member 4,605250,O15439,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:56,ABCC5,ATP binding cassette subfamily C member 5,605251,O15440,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:57,ABCC6,ATP binding cassette subfamily C member 6,603234,O95255,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:59,ABCC8,ATP binding cassette subfamily C member 8,600509,Q09428,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:60,ABCC9,ATP binding cassette subfamily C member 9,601439,O60706,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False
HGNC:52,ABCC10,ATP binding cassette subfamily C member 10,612509,Q5T3U5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
HGNC:14639,ABCC11,ATP binding cassette subfamily C member 11,607040,Q96J66,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False
HGNC:14640,ABCC12,ATP binding cassette subfamily C member 12,607041,Q96J65,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
HGNC:61,ABCD1,ATP binding cassette subfamily D member 1,300371,P33897,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
HGNC:66,ABCD2,ATP binding cassette subfamily D member 2,601081,Q9UBJ2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
