UKBID,everCpDK_count,everCpDC_count,detectedK_UKBID,detectedC_UKBID,detectedCK_UKBID
A0AVT1,5.0,6.0,True,True,True
A0JNW5,1.0,0.0,True,False,False
A1L0T0,1.0,1.0,True,True,True
A2RUC4,1.0,0.0,True,False,False
A4D1E9,1.0,0.0,True,False,False
A4D1F6,1.0,0.0,True,False,False
A5YKK6,1.0,3.0,True,True,True
A6NDG6,2.0,4.0,True,True,True
A6NDU8,1.0,4.0,True,True,True
A6ZKI3,3.0,0.0,True,False,False
A8MXV4,2.0,0.0,True,False,False
A9UHW6,1.0,1.0,True,True,True
O00148,7.0,6.0,True,True,True
O00151,10.0,3.0,True,True,True
O00154,8.0,3.0,True,True,True
O00159,2.0,4.0,True,True,True
O00170,7.0,4.0,True,True,True
O00193,6.0,0.0,True,False,False
O00203,2.0,0.0,True,False,False
O00231,8.0,2.0,True,True,True
O00232,14.0,2.0,True,True,True
O00233,6.0,3.0,True,True,True
O00244,3.0,3.0,True,True,True
O00264,1.0,1.0,True,True,True
O00267,3.0,3.0,True,True,True
O00299,13.0,6.0,True,True,True
O00303,4.0,1.0,True,True,True
O00330,2.0,0.0,True,False,False
O00399,1.0,0.0,True,False,False
O00410,10.0,15.0,True,True,True
O00442,3.0,2.0,True,True,True
O00469,3.0,2.0,True,True,True
O00487,7.0,2.0,True,True,True
O00499,4.0,0.0,True,False,False
O00541,2.0,4.0,True,True,True
O00560,3.0,0.0,True,False,False
O00571,2.0,3.0,True,True,True
O00584,1.0,0.0,True,False,False
O00622,1.0,9.0,True,True,True
O00625,1.0,0.0,True,False,False
O00743,2.0,4.0,True,True,True
O00762,3.0,1.0,True,True,True
O00764,3.0,1.0,True,True,True
O14530,1.0,0.0,True,False,False
O14559,2.0,0.0,True,False,False
O14561,2.0,1.0,True,True,True
O14562,3.0,0.0,True,False,False
O14579,5.0,2.0,True,True,True
O14602,4.0,0.0,True,False,False
O14617,2.0,2.0,True,True,True
O14618,1.0,1.0,True,True,True
O14641,1.0,1.0,True,True,True
O14684,1.0,0.0,True,False,False
O14733,2.0,4.0,True,True,True
O14734,1.0,0.0,True,False,False
O14735,1.0,0.0,True,False,False
O14737,6.0,0.0,True,False,False
O14744,1.0,4.0,True,True,True
O14757,1.0,0.0,True,False,False
O14763,1.0,0.0,True,False,False
O14773,1.0,3.0,True,True,True
O14776,4.0,2.0,True,True,True
O14777,2.0,1.0,True,True,True
O14818,7.0,3.0,True,True,True
O14832,1.0,0.0,True,False,False
O14874,1.0,0.0,True,False,False
O14879,8.0,4.0,True,True,True
O14880,1.0,1.0,True,True,True
O14933,1.0,2.0,True,True,True
O14936,2.0,2.0,True,True,True
O14949,1.0,0.0,True,False,False
O14950,5.0,1.0,True,True,True
O14964,2.0,2.0,True,True,True
O14979,6.0,2.0,True,True,True
O14980,11.0,8.0,True,True,True
O15056,1.0,0.0,True,False,False
O15078,1.0,0.0,True,False,False
O15143,7.0,3.0,True,True,True
O15144,4.0,1.0,True,True,True
O15145,9.0,1.0,True,True,True
O15155,1.0,0.0,True,False,False
O15173,3.0,1.0,True,True,True
O15212,7.0,0.0,True,False,False
O15235,1.0,3.0,True,True,True
O15258,1.0,0.0,True,False,False
O15260,2.0,1.0,True,True,True
O15269,1.0,1.0,True,True,True
O15347,7.0,1.0,True,True,True
O15355,1.0,4.0,True,True,True
O15357,1.0,3.0,True,True,True
O15371,7.0,6.0,True,True,True
O15372,6.0,1.0,True,True,True
O15382,4.0,4.0,True,True,True
O15400,1.0,0.0,True,False,False
O15446,1.0,4.0,True,True,True
O15460,2.0,2.0,True,True,True
O15498,2.0,0.0,True,False,False
O15511,4.0,1.0,True,True,True
O15514,1.0,0.0,True,False,False
O43143,6.0,5.0,True,True,True
O43172,1.0,4.0,True,True,True
O43175,6.0,8.0,True,True,True
O43237,2.0,1.0,True,True,True
O43242,5.0,2.0,True,True,True
O43247,1.0,0.0,True,False,False
O43264,1.0,1.0,True,True,True
O43294,1.0,2.0,True,True,True
O43324,6.0,1.0,True,True,True
O43390,2.0,3.0,True,True,True
O43395,5.0,0.0,True,False,False
O43396,3.0,3.0,True,True,True
O43399,9.0,0.0,True,False,False
O43414,2.0,2.0,True,True,True
O43447,8.0,3.0,True,True,True
O43464,1.0,0.0,True,False,False
O43488,3.0,1.0,True,True,True
O43491,1.0,1.0,True,True,True
O43583,6.0,0.0,True,False,False
O43592,2.0,5.0,True,True,True
O43615,3.0,0.0,True,False,False
O43633,3.0,0.0,True,False,False
O43660,1.0,3.0,True,True,True
O43665,7.0,0.0,True,False,False
O43670,1.0,0.0,True,False,False
O43681,6.0,0.0,True,False,False
O43684,1.0,2.0,True,True,True
O43707,24.0,6.0,True,True,True
O43708,1.0,2.0,True,True,True
O43709,1.0,1.0,True,True,True
O43719,1.0,4.0,True,True,True
O43739,1.0,0.0,True,False,False
O43747,6.0,1.0,True,True,True
O43765,4.0,3.0,True,True,True
O43768,6.0,0.0,True,False,False
O43776,2.0,2.0,True,True,True
O43809,4.0,0.0,True,False,False
O43813,1.0,3.0,True,True,True
O43815,1.0,2.0,True,True,True
O43837,9.0,3.0,True,True,True
O43852,9.0,0.0,True,False,False
O43865,3.0,2.0,True,True,True
O43913,1.0,1.0,True,True,True
O43929,1.0,1.0,True,True,True
O60216,1.0,4.0,True,True,True
O60231,1.0,1.0,True,True,True
O60232,1.0,3.0,True,True,True
O60234,4.0,1.0,True,True,True
O60271,4.0,2.0,True,True,True
O60313,1.0,0.0,True,False,False
O60488,1.0,2.0,True,True,True
O60493,7.0,1.0,True,True,True
