HGNC.ID,HGNCsymbol,Approved.name,Chromosome,Pubmed.IDs,OMIM.ID,UniProt.ID
HGNC:5,A1BG,alpha-1-B glycoprotein,19q13.43,2591067,138670,P04217
HGNC:37133,A1BG-AS1,A1BG antisense RNA 1,19q13.43,,,
HGNC:24086,A1CF,APOBEC1 complementation factor,10q11.23,"11815617, 11072063",618199,Q9NQ94
HGNC:6,A1S9T,"symbol withdrawn, see [HGNC:12469](/data/gene-symbol-report/#!/hgnc_id/HGNC:12469)",,,,
HGNC:7,A2M,alpha-2-macroglobulin,12p13.31,"2408344, 9697696",103950,P01023
HGNC:27057,A2M-AS1,A2M antisense RNA 1,12p13.31,,,
HGNC:23336,A2ML1,alpha-2-macroglobulin like 1,12p13.31,16298998,610627,A8K2U0
HGNC:41022,A2ML1-AS1,A2ML1 antisense RNA 1,12p13.31,,,
HGNC:41523,A2ML1-AS2,A2ML1 antisense RNA 2,12p13.31,,,
HGNC:8,A2MP1,alpha-2-macroglobulin pseudogene 1,12p13.31,2478422,,
HGNC:9,A2MR,"symbol withdrawn, see [HGNC:6692](/data/gene-symbol-report/#!/hgnc_id/HGNC:6692)",,,,
HGNC:10,A2MRAP,"symbol withdrawn, see [HGNC:6701](/data/gene-symbol-report/#!/hgnc_id/HGNC:6701)",,,,
HGNC:30005,A3GALT2,"alpha 1,3-galactosyltransferase 2",1p35.1,"10854427, 18630988",,U3KPV4
HGNC:18149,A4GALT,"alpha 1,4-galactosyltransferase (P blood group)",22q13.2,"10854428, 20971946",607922,Q9NPC4
HGNC:17968,A4GNT,"alpha-1,4-N-acetylglucosaminyltransferase",3q22.3,10430883,616709,Q9UNA3
HGNC:1,A12M1,adenovirus-12 chromosome modification site 1C,,,,
HGNC:2,A12M2,adenovirus-12 chromosome modification site 1A,,,,
HGNC:3,A12M3,adenovirus-12 chromosome modification site 1B,,,,
HGNC:4,A12M4,adenovirus-12 chromosome modification site 17,,,,
HGNC:11,AA,"symbol withdrawn, see [HGNC:11714](/data/gene-symbol-report/#!/hgnc_id/HGNC:11714)",11p15,7795606,,
HGNC:13666,AAAS,aladin WD repeat nucleoporin,12q13.13,"11062474, 12196509",605378,Q9NRG9
HGNC:12,AABT,"amino acid transport, beta",,,,
HGNC:13,AAC1,"symbol withdrawn, see [HGNC:7645](/data/gene-symbol-report/#!/hgnc_id/HGNC:7645)",,,,
HGNC:14,AAC2,"symbol withdrawn, see [HGNC:7646](/data/gene-symbol-report/#!/hgnc_id/HGNC:7646)",,,,
HGNC:21298,AACS,acetoacetyl-CoA synthetase,12q24.31,"12623130, 17762044",614364,Q86V21
HGNC:18226,AACSP1,acetoacetyl-CoA synthetase pseudogene 1,5q35.3,,,
HGNC:13792,AACT,"symbol withdrawn, see [HGNC:16](/data/gene-symbol-report/#!/hgnc_id/HGNC:16)",,,,
HGNC:17,AADAC,arylacetamide deacetylase,3q25.1,8063807,600338,P22760
HGNC:24427,AADACL2,arylacetamide deacetylase like 2,3q25.1,25715734,,Q6P093
HGNC:50301,AADACL2-AS1,AADACL2 antisense RNA 1,3q25.1,,,
HGNC:32037,AADACL3,arylacetamide deacetylase like 3,1p36.21,,,Q5VUY0
HGNC:32038,AADACL4,arylacetamide deacetylase like 4,1p36.21,,,Q5VUY2
HGNC:50305,AADACP1,arylacetamide deacetylase pseudogene 1,3q25.1,,,
HGNC:17929,AADAT,aminoadipate aminotransferase,4q33,"12126930, 10441733, 18056995",611754,Q8N5Z0
HGNC:25662,AAGAB,alpha and gamma adaptin binding protein,15q23,"11230166, 10477754",614888,Q6PD74
HGNC:19679,AAK1,AP2 associated kinase 1,2p13.3,"11877461, 12471243",616405,Q2M2I8
HGNC:30205,AAMDC,adipogenesis associated Mth938 domain containing,11q14.1,22279136,,Q9H7C9
HGNC:18,AAMP,angio associated migratory cell protein,2q35,7743515,603488,Q13685
HGNC:19,AANAT,aralkylamine N-acetyltransferase,17q25.1,8661026,600950,Q16613
HGNC:15886,AAR2,AAR2 splicing factor,20q11.23,26527271,617365,Q9Y312
HGNC:33842,AARD,alanine and arginine rich domain containing protein,8q24.11,27959439,,Q4LEZ3
HGNC:20,AARS1,alanyl-tRNA synthetase 1,16q22.1,8595897,601065,P49588
HGNC:49894,AARS1P1,alanyl-tRNA synthetase 1 pseudogene 1,4q28.3,,,
HGNC:21022,AARS2,"alanyl-tRNA synthetase 2, mitochondrial",6p21.1,"15779907, 21549344",612035,Q5JTZ9
HGNC:28417,AARSD1,alanyl-tRNA synthetase domain containing 1,17q21.31,26884463,613212,Q9BTE6
HGNC:54994,AARSD1P1,AARSD1 pseudogene 1,Xq13.2,,,
HGNC:23993,AASDH,aminoadipate-semialdehyde dehydrogenase,4q12,"15865210, 12712191, 17762044",614365,Q4L235
